TABLE_CATALOG;TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;CHARACTER_OCTET_LENGTH;NUMERIC_PRECISION;NUMERIC_PRECISION_RADIX;NUMERIC_SCALE;DATETIME_PRECISION;CHARACTER_SET_CATALOG;CHARACTER_SET_SCHEMA;CHARACTER_SET_NAME;COLLATION_CATALOG;COLLATION_SCHEMA;COLLATION_NAME;DOMAIN_CATALOG;DOMAIN_SCHEMA;DOMAIN_NAME
"StackOverflow";"dbo";"SuggestedEdits";"Tags";"10";"";"YES";"nvarchar";"250";"500";"";"";"";"";"";"";"UNICODE";"";"";"SQL_Latin1_General_CP1_CS_AS";"";"";""
"StackOverflow";"dbo";"SuggestedEdits";"RevisionGUID";"11";"";"YES";"uniqueidentifier";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"SuggestedEditVotes";"Id";"1";"";"NO";"int";"";"";"10";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"SuggestedEditVotes";"SuggestedEditId";"2";"";"NO";"int";"";"";"10";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"SuggestedEditVotes";"UserId";"3";"";"NO";"int";"";"";"10";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"SuggestedEditVotes";"VoteTypeId";"4";"";"NO";"tinyint";"";"";"3";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"SuggestedEditVotes";"CreationDate";"5";"";"NO";"datetime";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"SuggestedEditVotes";"TargetUserId";"6";"";"YES";"int";"";"";"10";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"SuggestedEditVotes";"TargetRepChange";"7";"";"NO";"int";"";"";"10";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"Tags";"Id";"1";"";"NO";"int";"";"";"10";"10";"0";"";"";"";"";"";"";"";"";"";""
"StackOverflow";"dbo";"Tags";"TagName";"2";"";"YES";"nvarchar";"35";"70";"";"";"";"";"";"";"UNICODE";"";"";"SQL_Latin1_General_CP1_CS_AS";"";"";""
"StackOverflow";"dbo";"Tags";"Count";"3";"";"NO";"int";"";"";"10";"10";"0";"";"";"";"";"";"";"";"";"";""
